USERNAME,TEXT,RETWEETS,ABOUT_BASEBALL
fabi_ad,¿Te animas a participar en la organización de una de las mejores Jornadas interuniversitarias de Computación ? Visita https:// goo.gl/yXtVhY,0,0
fabi_ad,Nada que las trufas del CEIC no solucione https:// twitter.com/Dylan_jo/statu s/799444145538531328 …,0,0
AndresEspinoza,11.449 entradas vendidas para el último #Magallanes - #Tiburones de la regular en el Universitario,5,1
AndresEspinoza,10.219 entradas vendidas para el primer #Magallanes - #Tiburones disputado esta temporada en la UCV,1,1
AndresEspinoza,Con dos outs en la parte baja del sexto inning, aparece la lluvia de pronto. Mandan a poner la lona...come on, man! #Magallanes #Tiburones,0,1
AndresEspinoza,#Magallanes colocó el juego bajo protesta por el uso de pelotas que aparentemente no eran las de play #Tiburones,7,1
AndresEspinoza,2x1 en un Magallanes -Caracas. No, en el país no hay crisis https:// twitter.com/leones_cbbc/st atus/789952320830332930 …,9,1
AndresEspinoza,Herrera señaló que #Tiburones compitió por los servicios de Matt Zielinski, lanzador que al final terminó en las filas de #Magallanes,2,1
AndresEspinoza,#Tiburones se vuelve a quedar en semifinales. Son 31 años de sequía para La Guaira,25,1
AndresEspinoza,Clase de respiro para #Tiburones . La Guaira tiene seis juegos restantes, cuatro de ellos en la UCV (uno como visitante ante #Leones ),15,1
AndresEspinoza,Helmis Rodríguez tiene permiso para lanzar con #Tiburones hasta el 23 de este mes. La Guaira sigue negociando una extensión con los #Rockies,4,1
AndresEspinoza,Tercera derrota seguida para #Tiburones y quinta en nueve choques este mes. Décima semana de 1-4 para La Guaira , que regresa a .500 (25-25),8,1
AndresEspinoza,Siguiente en fila: #Tiburones se impulsa de los #Cubs . "¿Por qué no La Guaira ?" http:// rectadecuatrocosturas.blogspot.com/2016/11/siguie nte-en-la-fila-tiburones-toma.html …,20,1
AndresEspinoza,5.868 entradas se vendieron para el segundo #Leones - #Tiburones de la campaña, primero con La Guaira como local,12,1
AndresEspinoza,Fin de la segunda pasantía en la LVBP para Alfaro. Cómo le ha costado la liga... https:// twitter.com/tiburones_net/ status/812025631974236160 …,8,1
AndresEspinoza,Discutimos la jornada de la #LVBP , los problemas de los #Leones , el liderato de las #Águilas , José Altuve y más en @3EnBase1300 . Tune in!,2,1
AndresEspinoza,Ozney llevó la cuenta a 3-2 y terminó sacudiendo imparable al RF en su primer turno en la LVBP . Buena noche para los Guillén #Tiburones,12,1
AndresEspinoza,La novela "Alex Cabrera - LVBP " es cada vez más aburrida...una conclusión, sea cual sea, sería magnifica #Enough,1,1
AndresEspinoza,La #LVBP ha hecho que escuchar "posibilidad de triple empate" genere pánico en el venezolano. Sorry, @MLB,1,1
AndresEspinoza,Echemendia sobre cubanos en LVBP : "Me llevó bien con Adonis, venimos de la misma provincia. A Mustelier lo vi el sábado pasado" #Tiburones,6,1
AndresEspinoza,@tiburonJRGV @ChinoAlvarez10 Esa falta de disciplina y entrega que cita Mackanin la hemos visto en la LVBP también,0,1
AndresEspinoza,"Mi mamá a veces le dice (a Ozzie) que si no me pone a jugar, no le dará comida ", señaló entre risas Ozney #Tiburones,2,0
AndresEspinoza,Una fuente de la Fundación UCV asegura que la localía de #Tiburones en el Universitario no corre peligro en estos playoffs,23,0
AndresEspinoza,Ozzie: "He pensado en lo del libro para llevarlo a una fundación , pero vamos a ver si cuando termine esto quiero seguir hablando de pelota",10,0
carlos_rmd,un pana en Canadá se compró una jarra de esas idéntica a las de cine citta en 8$ canadienses que equivale a 6$ americanos.,2,0
carlos_rmd,jaja qué tontos los que buscan comida en la basura. No se les ocurrió que podían ir a algún restaurante en Las Mercedes https:// twitter.com/aliciacastroar /status/808046238427922432 …,4,0
carlos_rmd,@Betannnia y te aseguro que no pones la película porque imagínate, tienes que estudiar no perder tiempo,0,0
carlos_rmd,@yayito73 @zerimaradenip @Javierito321 pendejo, mi abuela tiene 86 años y es primera vez en su vida que no encuentra su comida normal.,0,0
carlos_rmd,no les pasa que esto es lo que quieren almorzar y no la comida que tienen en el congelador? pic.twitter.com/lewJt5N46R,2,0
carlos_rmd,@xjotax_ y duermes en el sofá de la salita de computación,0,0
carlos_rmd,@SuperPanqsito en computación volvieron #publicidad,0,0
carlos_rmd,@Doubt_ @CEIG_ USB @Betannnia hoy compré uno pero solo tenían tres sabores :(,0,0
carlos_rmd,@RorySalinas yo creo que ese palo de agua de bienvenida que nos cayó a los 11 fue el más fuerte que he vivido en la USB jajaja,1,0
carlos_rmd,por qué a casi más nadie le gusta la música nigga? :(,0,0
carlos_rmd,@Geor_Kufatty bueno, en el centro de acción social por la música eso no es dificil con la feria peruana que ponen en frente jajaja,0,0
MarianFlowers,@gade_ usb Buenas noches, por ahora la fecha de retiro sigue siendo el viernes de esta semana? O hubo alguna extensión?,0,0
JjCorreia,¿Cómo la OPSU transfiere tan rápido el bono de alimentación, pero aún no han transferido los recursos del transporte y comedores? @FCEUSB,0,0
AnSanchezRu,Otros que esperan volver son Hassán Pena y Denis Phipps. Es prácticamente un hecho que #Magallanes y #Caribes los repitan,2,1
AnSanchezRu,A diferencia de #Magallanes , #Leones tiene un espectro más amplio de búsqueda, así lo dijo Luis Ávila, presidente de la organización:,3,1
AnSanchezRu,#Tigres Carlos Tocci ganó el Novato del Año. Muy cerca estuvo Luis Arráez de #Magallanes . Así quedó la puntuación: pic.twitter.com/INqAC8NNg9,7,1
AnSanchezRu,La final será la primera desde la 1983-84 en la que no estarán #Leones , #Magallanes o #Tigres . Esa vez #Águilas le ganó 4-1 a #Cardenales,29,1
AnSanchezRu,Oficialmente se acabó una era para #Magallanes . Un gran trabajo luego de cuatro finales consecutivas y dos títulos,3,1
AnSanchezRu,Postemporada sin Eternos Rivales: #Magallanes eliminado acompaña a #Leones . La segunda vez que ocurre, la primera 2007-2008,7,1
AnSanchezRu,Yandy Díaz amanece hoy con el liderato de average de la liga .367, están cerca José Tábata .363 y Hernán Pérez .360 #Leones #Magallanes,3,1
AnSanchezRu,La palabra de Félix Hernández pesa. Dijo que iba a lanzar y lo hizo, dijo que sería el 22-12 y lo hizo #Magallanes,6,1
AnSanchezRu,Mejores cerradores en la #LVBP : Garcés (124), Buttó (86), Jorge Julio (76), Aponte (73), Santos (70), Pena (69) #Magallanes,6,1
AnSanchezRu,De acuerdo con el departamento de prensa de #Magallanes entran al roster Brad Bergesen y Félix Hernández #Mariners,2,1
AnSanchezRu,13.369 la asistencia del #Magallanes #Leones,3,1
AnSanchezRu,Eduardo Rodríguez culmina su apertura con 62 pitcheos, 6H, 2C, 3K, 1BB #Magallanes,2,1
AnSanchezRu,En minutos comenzará el octavo Caracas- Magallanes de la temporada. Jhoulys Chacín y Ed-Rod serán los abridores pic.twitter.com/dSLiSszskq,3,1
AnSanchezRu,@iCarlosGonzalz Hola, Carlos. Lo ignoro. Yo estaba en el juego entre Magallanes y Tiburones,1,1
AnSanchezRu,Con el jonrón del 2° inning, Lissón llegó a 62 de por vida y dejó atrás los 61 de Galarraga. Super Mario es el 15 de la historia #Magallanes,4,1
AnSanchezRu,Asdrúbal Cabrera planea debutar el jueves, contra #Magallanes con Eduardo Rodríguez. #Leones tendrá ese día a Jhoulys Chacín,23,1
AnSanchezRu,¿Ahora qué hará Carlos García? "Voy a despertarme mañana, pediré una cena, veré el juego #Magallanes y #Águilas y criticaré a Omar" (risas),25,1
AnSanchezRu,Carlos García: "Extrañaré ir al José Bernardo Pérez, dirigir las prácticas y hablar con los coachs" #Magallanes,19,1
AnSanchezRu,García: "Qué voy a extrañar del #Magallanes ? Su fanaticada todas las noches. Sabía que no era una situación fácil pero competíamos",21,1
AnSanchezRu,Carlos García: "No tengo ningún tipo de remordimiento. Estoy orgulloso de vestir el uniforme del #Magallanes ",26,1
AnSanchezRu,#Tigres de Aragua no dará "prioridad de contratación" a 22 peloteros, incluido Jean Carlos Granado,1,1
AnSanchezRu,Ozzie Guillen: "si me muero que me entierren en Estados Unidos, pero con el uniforme de La Guaira " #Tiburones,27,1
AnSanchezRu,Alexis Candelario es uno de los nombres que espera repetir los Tiburones de La Guaira , pero primero debe esperar el draft en Dominicana,2,1
AnSanchezRu,#Águilas hace lucir ridículo al Ave Fénix. Lo peor del año pasado, cambios a montón, muerte de Doña Lilia y allí está: 6° título en la #LVBP,10,1
AnSanchezRu,El draft de sustituciones para la final debe estar a punto de comenzar #LVBP,5,1
AnSanchezRu,Lo mejor de Alcides en MLB se ha visto en la postemporada, en la series importantes. Los playoffs de la LVBP no parecen ser la excepción,3,1
AnSanchezRu,¡300 Hits para Endy Chávez en postemporadas en la #LVBP !,12,1
AnSanchezRu,José Castillo demuestra que es uno de los mejores bateadores en la historia de la #LVBP #Tiburones 3-2 #Tigres,3,1
AnSanchezRu,Jesús Flores #Águilas es el ganador del Regreso del Año. Así quedó la votación #LVBP pic.twitter.com/SkXGr9ovYp,3,1
AnSanchezRu,Mi votación completa para los premios individuales de la #LVBP pic.twitter.com/zIkXD3zQu7,6,1
AnSanchezRu,Mis votos de premios de la #LVBP : Novato: Carlos Tocci Manager: Lipso Nava Regreso: Jesús Flores Pitcher: Raúl Rivero MVP: Breyvic Valera,27,1
AnSanchezRu,Gracias a @QualityBeisbol tenemos la tabla actualizada con el diferencial de carreras. #Tigres tiene 42 #LVBP pic.twitter.com/v2TEXfsku6,8,1
AnSanchezRu,Hassan Pena llegó a 70 salvados e igualó a Santos Hernández. El cubano y el panameño comparten el tope para lanzadores extranjeros #LVBP,9,1
AnSanchezRu,68 rescates de por vida para Hassan Pena, a 2 de igualar a Santos Hernández en el tope para un importado en la #LVBP,7,1
AnSanchezRu,Además, con los 32 salvados Bola 8 iguala al Kid Rodríguez en el puesto 23 de todos los tiempos en la #LVBP #Leones,2,1
AnSanchezRu,José Castillo llegó a los 912 hits y ocupa el décimo lugar de todos los tiempos en la #LVBP Dejó atrás los 911 de Ángel Bravo #Tiburones,4,1
AnSanchezRu,Jorge Alfaro sale del encuentro con 4 RBI. Ha sido el juego más productivo de los 29 que ha jugado en la #LVBP #Tiburones,1,1
AnSanchezRu,52 ponches para William Cuevas, líder de la #LVBP #Tiburones,3,1
AnSanchezRu,Aunque es poca la gente, hay una fuerte ovación para William Cuevas. Los 9 ponches en un juego es tope para él en la #LVBP #Tiburones,2,1
AnSanchezRu,“¿Por qué Félix si puede (jugar en la LVBP ) y yo no? Debería ser sí para todos", dijo Carlos González sobre jugar en Venezuela #Águilas https:// twitter.com/LVBP_Oficial/s tatus/801868086198566912 …,9,1
AnSanchezRu,Cuando José Castillo pegue los tres hits que le faltan y llegue a 900, se convertirá en el undécimo pelotero en lograrlo en la #LVBP,1,1
AnSanchezRu,Era imposible hablar con Alcides Escobar y no preguntarle sobre Venezuela en el Clásico Mundial de Beisbol #CMB,0,1
AnSanchezRu,Gallo: "Lo más difícil de estar aquí será mantener mi peso. Me gusta mucho la comida , espero cosas buenas" #magallanes,4,0
AnSanchezRu,Infancia Feliz viernes!! Música - Un Solo Pueblo. Tema: "Pastores de San Joaquín" https:// youtu.be/jE0cL0nuTFs,0,0
AnSanchezRu,Pedrique: "Ese día se perdió 6-0, estábamos de últimos y la manera como pusieron música lo consideré una falta de respeto" #Leones,13,0
AnSanchezRu,En estos momentos Fundación UCV, #Leones y #Tiburones se encuentran reunidos,15,0
JuanPa_Ch,En el perfil de @AnSanchezRu declaraciones del ex mánager de @leones_cbbc tras ser despedido ayer #LVBP https:// twitter.com/AnSanchezRu/st atus/809437139222007808 …,0,1
JuanPa_Ch,Celebra el deporte zuliano. Primero @Zulia_FC y ahora @aguilasdelzulia https:// twitter.com/kikoperozo/sta tus/821526804515221506 …,0,1
JuanPa_Ch,Suspenden Festival de Música #SuenaCaracas por la muerte de Fidel Castro. Según el comunicado será programado para otra fecha #26Nov https:// twitter.com/jorgerpsuv/sta tus/802538468027105282 …,0,0
antoniobreak2,Ya magallanes esta eliminado!! deje de darle importancia a ese equipo! https:// twitter.com/artilespascual /status/821556784506830848 …,0,1
antoniobreak2,Donde estarán los detractores q decían que sin #Caracas y #Magallanes la gente no iría a los estadios, Sera q vieron los juegos ayer y hoy?,0,1
antoniobreak2,El juego de Hoy #Caracas Vs #Magallanes a perdón sera para Octubre porque están ELIMINADOSSSSS!!,0,1
antoniobreak2,Claro por eso magallanes esta ELIMINADO! con razón ahora todo tiene sentido! https:// twitter.com/jogg09/status/ 816293315855388672 …,0,1
antoniobreak2,@mynameisdhvl @matos1972 @Magallanes _News Conchale si que broma vale... pero me da tanta alegría eso,0,1
antoniobreak2,Claro q se acabo el Beisbol pero para Caracas y Magallanes #ELIMINADOS para otros 6 equipos mejores esta temporada sigue el Beisbol en enero https:// twitter.com/JesusTB1/statu s/814666403534032896 …,0,1
antoniobreak2,Tibisay lucena dijo que era IRREVERSIBLE la #ELIMINACION de Caracas y Magallanes https:// twitter.com/KevinCoronel24 /status/814658848929841152 …,0,1
antoniobreak2,@DAGERUM @Magallanes _bbc Se hundio la chalana esa #ELIMINADOS BUUUUUUUUU,0,1
antoniobreak2,En @MeridianoTV están de luto por la #ELIMINACION de Caracas y Magallanes no saben que portadita van a poner mañana jajajajajajajajajajajaja,0,1
antoniobreak2,AHORA SI UNA BULLLLAAAAAAAAAAAAAAAAAA PARA LOS #ELIMINADOS Caracas y Magallanes,0,1
antoniobreak2,Y dijiste tu q con Yorvit ganarían todos los juegas q quedan y tigres y magallanes perderían todos ya tu equipo esta 2 metros bajo tierra ja https:// twitter.com/leonesavila/st atus/809133259905003521 …,0,1
antoniobreak2,Los #Caraquistas burlándose del #Magallanes y están a 0.5 del ultimo es entendible su emoción después de estar 44 juegos en el ultimo lugar! https:// twitter.com/caraquistas/st atus/805742271744405504 …,2,1
antoniobreak2,Ni modo, aunque peor están #Caracas y #Magallanes https:// twitter.com/CardenalesDice /status/805570037474066432 …,0,1
antoniobreak2,A esto me refiero si es por corte de agua para mi no tiene justificación Caracas- Magallanes https:// twitter.com/Unionradionet/ status/804433053842022400 …,0,1
antoniobreak2,Valbuena regular? un pelotero MLB? Por que siempre despreciar a #Cardenales ? es q los únicos q valen son los últimos caracas y magallanes ? https:// twitter.com/rember_m/statu s/804406386939588609 …,0,1
antoniobreak2,Tan perfectos son que van de últimos jajajajajajaja pero tranquilo peor es ser del #Magallanes https:// twitter.com/Parraga_Lvbp/s tatus/803804203684679681 …,0,1
antoniobreak2,@leones_cbbc no te de pena y actualiza que desde hace rato PERDIERON JAJAJAJAJAJA https:// twitter.com/leones_cbbc/st atus/812119839150133249 …,0,1
antoniobreak2,Si la @LVBP_Oficial es seria se debe repetir el primer juego bajo protesta entre @OficialTigres y @leones_cbbc #LVBP son reglas del juego!!,1,1
antoniobreak2,Esas reflexiones de Pedrique en la cuenta de los Virtualmente ELIMINADOS Leones del Caracas dan es risa jajajajajajajjajaja,0,1
antoniobreak2,Señor relevo el que se lanzo Parra para @CardenalesDice 3 - 2 @leones_cbbc clase de cierre #ALaLucha,0,1
antoniobreak2,Bueno 2 carreritas mas no caen mal en este 9 inning @CardenalesDice 3 - 0 @leones_cbbc #ALaLucha,0,1
antoniobreak2,Vamos Rivero no jodaaaaaaaaaaaaaaaa eso es a despertar con la ofensiva @CardenalesDice 1 - 0 @leones_cbbc alta del 8 inning,0,1
antoniobreak2,Siempre Humildemente no como otros equipos ---- @leones_cbbc @Magallanes_bbc https:// twitter.com/CardenalesDice /status/794365915819343872 …,0,1
antoniobreak2,Yo si apoyare a las #AguilasDelZulia en la #SerieDelCaribe2017 ojala lleven un buen equipo que este a la altura del torneo.,0,1
antoniobreak2,Dignos #Campeones las #AguilasDelZulia Felicitaciones!! y a traerse esa #SerieDelCaribe2017 a #Venezuela,1,1
antoniobreak2,@rainermontt Si fuera de las @aguilasdelzulia no fuera vergüenza verdad? se ve que no has leído lo que sucedió con el caso de Montero!,0,1
antoniobreak2,Desperdiciamos la oportunidad de ser primeros ya que las @aguilasdelzulia están perdiendo contra @labarrabrava a ganar el segundo #ALaLucha https:// twitter.com/CardenalesDice /status/802980350163120128 …,0,1
antoniobreak2,@CardenalesDice En el segundo lugar a 2,5 juegos de las @aguilasdelzulia y descontando *-* #ALaLucha pic.twitter.com/fJST8uZMQm,0,1
antoniobreak2,@Parraga_ Lvbp Pareciera que han pasado como 30 años desde que termino la final y todavía no comienza la #SerieDelCaribe2017,2,1
antoniobreak2,@Parraga_ Lvbp Por que? porque no clasificaron tus leoncitos o tus magallinitas? jajajajajajajajaja https:// twitter.com/MeridianoTV/st atus/825379161250340865 …,0,1
antoniobreak2,Se termina otra temporada de la @LVBP _Oficial ya por alli vienen los @GuarosOficial a darnos la alegria que nos merecemos los #Guaros,0,1
antoniobreak2,@Parraga_ Lvbp Creo que se agrandaron mucho los #Tiburones al ganar el primer juego y mira 4-1,1,1
antoniobreak2,Una pena por #Bravos que siendo el Realmente "Mejor Perdedor" no juegue el partido del comodín la @LVBP _Oficial debe revisar eso!,1,1
antoniobreak2,@Parraga_ Lvbp Tu ya debas hoy por muerto a #Cardenales y muertos están tu y tus #Leones,1,1
antoniobreak2,@Parraga_ Lvbp Te informo que hay septimo juego en #Barquisimeto PARA QUE SEAS SERIO y no menos precies a #Cardenales,1,1
antoniobreak2,#Bravos 0-3 #Cardenales 9 inning y vendrá Hassan Pena a apagar las luces de este juego señores!! #IVCLVBP #LVBP,0,1
antoniobreak2,@melendezave @Parraga_ Lvbp Claro y #Caracas juega contra #Magallanes hoy JAJAJAJAJAJAJAJA,0,1
antoniobreak2,@Tomapapa Voy por las uñas de los pies con este juego #Cardenales 1 - 1 #Bravos inning 11. #LVBP,0,1
antoniobreak2,Dobleeeeeeeeeeeee de Ravelo y entra a Batear Carlos Rivero, vamos vieja tenemos que hacer carreras aqui!!! #Cardenales #LVBP,0,1
antoniobreak2,#Cardenales igualo récord de doble plays en un partido de postemporada para la #LVBP con 6 doble matanzas!!,0,1
antoniobreak2,@Jodedorowsky @Parraga_ Lvbp @tibumcy En el siglo XVIII todavía no habían inventado el Betamax,0,1
antoniobreak2,@leonesavila @Parraga_ Lvbp Jake Mate y no crean que es por el día de los inocentes!,1,1
antoniobreak2,@leonesavila Se te esta acabando el sancocho de $$ de la #LVBP ELIMINADO!!!!!,0,1
antoniobreak2,Si la @LVBP _Oficial es seria se debe repetir el primer juego bajo protesta entre @OficialTigres y @leones_cbbc #LVBP son reglas del juego!!,1,1
antoniobreak2,@trafficLARA Estamos CLASIFICADOS #Cardenales #ALaLucha #LVBP La Gloria es de DIOS!! #Lara,0,1
antoniobreak2,@Parraga_ Lvbp Sanción estimado! https:// twitter.com/aguiluchosweb/ status/809201129615720448 …,0,1
antoniobreak2,Ya empezaron a sacar los Oscars, Grammy latinos, entre otros jajajajaja https:// twitter.com/UnPikachuMas/s tatus/814665479558168577 …,0,0
antoniobreak2,Que los #Leones También tienen 3 Latin Grammy y 2 bultos de harina pan!! https:// twitter.com/Materanonestor /status/814310597278003201 …,0,0
antoniobreak2,@HBOLAT #MadMaxFuryRoad La veo, La vuelvo a ver y La vuelvo a ver y no me canso de verla que película !!,0,0
antoniobreak2,Por que te dolió lo que escribí? Acaso les duele la verdad? o es q a ti no te falta la comida , medicina seguridad etc? #LogrosDeLaRevolucion https:// twitter.com/Beacandanga/st atus/797419622186307585 …,0,0
antoniobreak2,Yo solo pido producción de comida , Hospitales equipados, seguridad, calles en buenas condiciones y #Revocatorio2016 https:// twitter.com/UstarizM/statu s/763201627687886849 …,0,0
Dimewilni,Ya reacciono el magallanes gracias a Dios.,0,1
Dimewilni,Que fastidioso es Isaac, me llama para decirme que va perdiendo el magallanes .,0,1
Dimewilni,Tipo normal que viva el magallanes .,0,1
Dimewilni,Ahora el ex de mi amiga invitándome para el cine , que le sucede?,0,0
Dimewilni,Si ella cocina como camina puede montar un restaurante y vivir de las propinas.,0,0
Dimewilni,No te creas esa película ..,0,0
Dimewilni,Aveces es necesario cambiar de protagonista para que la película sea un todo un éxito.,0,0
Dimewilni,Gozate la película pero no te la creas.,0,0
Dimewilni,Llegar a esta hora a casa y que no haya comida >>>.,0,0
Dimewilni,¿Como pueden subir fotos de comida a esta hora? :(..,1,0
Dimewilni,Si me pongo a escuchar música despierto a mi mamá porque no tengo audífonos.,0,0
Dimewilni,Ando escuchando todo tipo de música .,0,0
Dimewilni,Estos chavistas con su música a todo volumen, que ladilla.,0,0
Dimewilni,Cuando me estoy comiendo una empanada y vienen a pedirme. https:// twitter.com/iSamuelJazz/st atus/778419079082221568 …,0,0
dominguezelaya,Así fue contra el Magallanes en la 2012-13 con las botas puestas, recordemos el HR de Oswaldo Navarro @YoangelRojas,0,1
dominguezelaya,#AvecesEsMejor un bullpen del #Magallanes con Gabriel Alfaro en el 7mo, Diego Moreno en el 8vo y Machi en el 9no @managergarcia,0,1
dominguezelaya,No se ustedes pero yo extraño a @GabrielAlfaroG en el bullpen del Magallanes . Todo por culpa de @Blasini_Mag que no le brindó un pargo. https:// twitter.com/gabrielalfarog /status/659422947048820737 …,0,1
dominguezelaya,De los Leones del Caracas pero por encima de eso amo mi Béisbol Venezolano. Hoy 3 cobijas Don Humberto, un abrazo @arreazaortega #ivclvbp,0,1
dominguezelaya,Cardenales de Lara es el Argentina del Beisbol Venezolano #EternosSegundones #CampeónMagallanesDelZulia,1,1
dominguezelaya,Doctor @josegrasso como hace falta su gestión en la LVBP .,0,1
Chuchoponte,En lo particular pienso que Luis Arráez tenía más méritos para quedarse con el #NovatoDelAño , fue mucho más importante para #Magallanes,3,1
Chuchoponte,#Magallanes en el juego de hoy a dejado OCHO hombres en base. SEIS de ellos en posición anotadora,16,1
Chuchoponte,En caso de haber cuádruple empate entre #Magallanes , #Tigres , #Bravos y #Tiburones . La nave y los bengalíes clasificarían directo...,4,1
Chuchoponte,Hoy el cubano Juan Miranda estará en el lineup inicial de #Magallanes , ocupando la primera base,4,1
Chuchoponte,Omar Malavé: "Desde ayer Félix sufre vómitos y una fuerte deshidratación. De no estar listo Pimentel hará la apertura" #Magallanes,24,1
Chuchoponte,#Magallanes ganando los dos juegos que le quedan, como mínimo, aseguraría un JUEGO EXTRA,2,1
Chuchoponte,El repertorio de Esmerling Vásquez es Recta, Cambio, Slider, Sinker y Curva. Su curva y el cambio son los envíos más efectivos. #Magallanes,4,1
Chuchoponte,#Magallanes con 3 victorias en esta semana aseguraría su clasificación. Pero con 2 triunfos ante LG nada más, tendría atado un juego extra,2,1
Chuchoponte,Con una sonora ovación el publico de Margarita recibe a @RealKingFelix en su primera visita al montículo con el uniforme de #Magallanes,8,1
Chuchoponte,"Mañana (hoy) cuando salga al montículo, sentiré realmente cual será la experiencia de lanzar con #Magallanes . Por ahora no me la imagino",3,1
Chuchoponte,"No tengo palabras para describir lo feliz que estoy, de estar con el equipo, es algo único" @RealKingFelix previo al debut con #Magallanes,6,1
Chuchoponte,Hoy se dio la mayor asistencia de un Caracas- Magallanes en la temporada 2016-2017. 17.343 personas, entraron en el coso de la "UCV",4,1
Chuchoponte,Jared Mortensen viene a fortalecer el bullpen de #Magallanes . Mientras que el plan con Robinson López es que entre a la rotación,5,1
Chuchoponte,#Magallanes le ganó la disputa a Tigres y Bravos por Robinson López. El dominicano era pretendido por media #LVBP . Veremos que trae,7,1
Chuchoponte,Pham y Gaby Hernández con pie y medio fuera de #Magallanes . Hoy la gerencia anunció dos nuevos importados (Jared Mortensen y Robinson López),5,1
Chuchoponte,#Magallanes tiene posibilidades de contar con Martín Pérez en está zafra. La gerencia finiquitará con Texas su plan, en los próximos días,3,1
Chuchoponte,Luis Arráez jugará hasta mañana con #Magallanes . Se agotó su permiso en el país. El principal candidato al "Novato del Año",2,1
Chuchoponte,Mark Serrano que en principio iba a abrir por #Magallanes el domingo, seguirá poniéndose a tono durante los próximos días para ponerse listo,6,1
Chuchoponte,Por #Magallanes hoy abre Stolmy Pimentel. Jack Snodgrass lo hará mañana y Alex Sanabia saltará a la lomita el domingo.,7,1
Chuchoponte,@JoeyGallo24 podría volver a ponerse el uniforme de #Magallanes . La gerencia hace lo todo posible por traerlo de nuevo al país,4,1
Chuchoponte,En 60 días #LVBP @leones_cbbc - @OficialTigres . @aguilasdelzulia - @caribesanz . @CardenalesDice - @tiburones_net . @labarrabrava - @Magallanes_bbc,1,1
