USERNAME,TEXT,RETWEETS,ABOUT_BASEBALL
AnSanchezRu,La decisión de suspender el juego fue de los dos equipos #Magallanes y #Leones . Pronto se anunciará la reprogramación,8,1
AnSanchezRu,La liga suspendió el juego oficialmente. Luego será reprogramado el #Magallanes vs. #Leones . Razón: no hay agua el Universitario,14,1
AnSanchezRu,Los tobos de agua que le pusieron a #Magallanes para que hicieran sus necesidades. Los peloteros no se uniformaron pic.twitter.com/oxndg96MMd,169,1
JuanPa_Ch,En el perfil de @AnSanchezRu declaraciones del ex mánager de @leones_cbbc tras ser despedido ayer #LVBP https:// twitter.com/AnSanchezRu/st atus/809437139222007808 …,0,1
JuanPa_Ch,"Estrategias similares están aplicando en los estadios de béisbol : 2x1 y una suerte se ""ladies night"" https:// twitter.com/albertoGarde3/ status/793919642955898880 …",0,1
antoniobreak2,@mynameisdhvl @matos1972 @Magallanes _News Conchale si que broma vale... pero me da tanta alegría eso,0,1
antoniobreak2,Claro q se acabo el Beisbol pero para Caracas y Magallanes #ELIMINADOS para otros 6 equipos mejores esta temporada sigue el Beisbol en enero https:// twitter.com/JesusTB1/statu s/814666403534032896 …,0,1
antoniobreak2,Tibisay lucena dijo que era IRREVERSIBLE la #ELIMINACION de Caracas y Magallanes https:// twitter.com/KevinCoronel24 /status/814658848929841152 …,0,1
antoniobreak2,@DAGERUM @Magallanes _bbc Se hundio la chalana esa #ELIMINADOS BUUUUUUUUU,0,1
antoniobreak2,En @MeridianoTV están de luto por la #ELIMINACION de Caracas y Magallanes no saben que portadita van a poner mañana jajajajajajajajajajajaja,0,1
antoniobreak2,AHORA SI UNA BULLLLAAAAAAAAAAAAAAAAAA PARA LOS #ELIMINADOS Caracas y Magallanes,0,1
antoniobreak2,"@JadafDe @SalazarHeison Eso lo acaban de decir en Play Top, mañana quienes se juegan la vida son #Bravos y #Magallanes",0,1
antoniobreak2,"@caraquistas @EddyCoronado_ Se termino para ustedes y casi que para magallanes , para otros 6 equipos sigue.",0,1
antoniobreak2,@OvacionVE Cromacelo a caracas y magallanes pues... https:// twitter.com/OvacionVE/stat us/809132859638292483 …,0,1
antoniobreak2,Y dijiste tu q con Yorvit ganarían todos los juegas q quedan y tigres y magallanes perderían todos ya tu equipo esta 2 metros bajo tierra ja https:// twitter.com/leonesavila/st atus/809133259905003521 …,0,1
antoniobreak2,Los #Caraquistas burlándose del #Magallanes y están a 0.5 del ultimo es entendible su emoción después de estar 44 juegos en el ultimo lugar! https:// twitter.com/caraquistas/st atus/805742271744405504 …,2,1
antoniobreak2,"Ni modo, aunque peor están #Caracas y #Magallanes https:// twitter.com/CardenalesDice /status/805570037474066432 …",0,1
antoniobreak2,Valbuena regular? un pelotero MLB? Por que siempre despreciar a #Cardenales ? es q los únicos q valen son los últimos caracas y magallanes ? https:// twitter.com/rember_m/statu s/804406386939588609 …,0,1
antoniobreak2,Tan perfectos son que van de últimos jajajajajajaja pero tranquilo peor es ser del #Magallanes https:// twitter.com/Parraga_Lvbp/s tatus/803804203684679681 …,0,1
antoniobreak2,Hoy y mañana #Caracas y #Magallanes descansaran del bulling por ser últimos y CASI ELIMINADOS sobre todo los #Leones JAJAJAJAJAJAJAJA,0,1
antoniobreak2,Los Leones Como que huelen a arepas quemadas #Leones 0 - 1 #Magallanes jajajajajajaja https:// twitter.com/leones_cbbc/st atus/802326036054757376 …,0,1
Dimewilni,Ya reacciono el magallanes gracias a Dios.,0,1
Dimewilni,"Que fastidioso es Isaac, me llama para decirme que va perdiendo el magallanes .",0,1
Dimewilni,Tipo normal que viva el magallanes .,0,1
Dimewilni,Y que viva el magallanes señoressss.,2,1
dominguezelaya,"#AvecesEsMejor un bullpen del #Magallanes con Gabriel Alfaro en el 7mo, Diego Moreno en el 8vo y Machi en el 9no @managergarcia",0,1
dominguezelaya,No se ustedes pero yo extraño a @GabrielAlfaroG en el bullpen del Magallanes . Todo por culpa de @Blasini_Mag que no le brindó un pargo. https:// twitter.com/gabrielalfarog /status/659422947048820737 …,0,1
Chuchoponte,#Magallanes en el juego de hoy a dejado OCHO hombres en base. SEIS de ellos en posición anotadora,16,1
Chuchoponte,"En caso de haber cuádruple empate entre #Magallanes , #Tigres , #Bravos y #Tiburones . La nave y los bengalíes clasificarían directo...",4,1
Chuchoponte,"Hoy el cubano Juan Miranda estará en el lineup inicial de #Magallanes , ocupando la primera base",4,1
Chuchoponte,"Omar Malavé: ""Desde ayer Félix sufre vómitos y una fuerte deshidratación. De no estar listo Pimentel hará la apertura"" #Magallanes",24,1
Chuchoponte,"#Magallanes ganando los dos juegos que le quedan, como mínimo, aseguraría un JUEGO EXTRA",2,1
Chuchoponte,"El repertorio de Esmerling Vásquez es Recta, Cambio, Slider, Sinker y Curva. Su curva y el cambio son los envíos más efectivos. #Magallanes",4,1
Chuchoponte,"#Magallanes con 3 victorias en esta semana aseguraría su clasificación. Pero con 2 triunfos ante LG nada más, tendría atado un juego extra",2,1
Chuchoponte,Con una sonora ovación el publico de Margarita recibe a @RealKingFelix en su primera visita al montículo con el uniforme de #Magallanes,8,1
Chuchoponte,"""Mañana (hoy) cuando salga al montículo, sentiré realmente cual será la experiencia de lanzar con #Magallanes . Por ahora no me la imagino""",3,1
Chuchoponte,"""No tengo palabras para describir lo feliz que estoy, de estar con el equipo, es algo único"" @RealKingFelix previo al debut con #Magallanes",6,1
Chuchoponte,"Hoy se dio la mayor asistencia de un Caracas- Magallanes en la temporada 2016-2017. 17.343 personas, entraron en el coso de la ""UCV""",4,1
Chuchoponte,Jared Mortensen viene a fortalecer el bullpen de #Magallanes . Mientras que el plan con Robinson López es que entre a la rotación,5,1
Chuchoponte,#Magallanes le ganó la disputa a Tigres y Bravos por Robinson López. El dominicano era pretendido por media #LVBP . Veremos que trae,7,1
Chuchoponte,Pham y Gaby Hernández con pie y medio fuera de #Magallanes . Hoy la gerencia anunció dos nuevos importados (Jared Mortensen y Robinson López),5,1
Chuchoponte,"#Magallanes tiene posibilidades de contar con Martín Pérez en está zafra. La gerencia finiquitará con Texas su plan, en los próximos días",3,1
Chuchoponte,"Luis Arráez jugará hasta mañana con #Magallanes . Se agotó su permiso en el país. El principal candidato al ""Novato del Año""",2,1
Chuchoponte,"Mark Serrano que en principio iba a abrir por #Magallanes el domingo, seguirá poniéndose a tono durante los próximos días para ponerse listo",6,1
Chuchoponte,Por #Magallanes hoy abre Stolmy Pimentel. Jack Snodgrass lo hará mañana y Alex Sanabia saltará a la lomita el domingo.,7,1
Chuchoponte,@JoeyGallo24 podría volver a ponerse el uniforme de #Magallanes . La gerencia hace lo todo posible por traerlo de nuevo al país,4,1
Chuchoponte,Oficialmente el juego #Magallanes vs #Tiburones fue Pospuesto debido a la fuerte lluvia. Más de 1 hora de lluvia cayó sobre el Universitario,4,1
orlgarcia,Que alegria magallanes y caracas eliminados venevision se quiere matar,0,1
orlgarcia,Pero y entonces umpire?? Porque mejor no le dan el juego de una vez a magallanes ?,0,1
orlgarcia,Magallanes hoy no ha hecho nada todas las carreras las ha hecho aguilas.,0,1
orlgarcia,Boleto y entra la primera de magallanes y entonces?,0,1
orlgarcia,El pitcher de magallanes le hizo el trabajo a herrera.,0,1
orlgarcia,No se puede creer un desastre flores por dios este juego esta perdido regalenle esa verga al magallanes .,0,1
orlgarcia,Terreneaossss hijos de putaaaaaa!!! La puta que los pario!!! Magallanes de mierda!!!,0,1
orlgarcia,Aguilas vs caracas en intimo es ridiculo pagar el doble vs magallanes y caracas son equipos iguales de la liga @aguilasdelzulia,0,1
orlgarcia,Magallanes das vergüenza,0,1
orlgarcia,Si tabata hoy dio pena lo de magallanes es vergonzoso jajajaja ganando comodos se dejan empatar,0,1
orlgarcia,Tambien porque las entradas vs leones y magallanes son mas caras algo con lo que no estoy para nada de acuerdo. @JorgeUAM21,0,1
orlgarcia,Y gano magallanes las aguilas tenian que venir a maracaibo para perder jejejeje normal pss.,0,1
Paul_Trejo,No faltará el frustrado que día que la postemporada será chimba sin Caracas y Magallanes JAJAJA EEEEEELIMINADOS,0,1
Paul_Trejo,Y ha perdido nuevamente Magallanes,0,1
Paul_Trejo,@LaTeleTuya desde Santa Rosa Maracay viendo el #Magallanes - #Tigres . Apoyando fielmente a los @OficialTigres #LVBPxTLT,0,1
Paul_Trejo,Seeeee fue esa mierda njd. Jonron de Dariel Alvarez #Tigres 6-2 Magallanes .,0,1
Paul_Trejo,"Magallanes dejan en el terreno a los Caribes de Anzoátegui 6 x 5,tras un despertar ofensivo en el 9no inning.",0,1
Paul_Trejo,Machi es el Butto del Magallanes jaja,0,1
Paul_Trejo,"Caracas toma la ventaja, 9x 8 ante Magallanes",0,1
Paul_Trejo,Se empató esa mierda en el universitario. Caracas 8-8 Magallanes,1,1
Paul_Trejo,Los dos jugadores del Magallanes que han recibido boleto iniciando inning han anotado en carreras. #Tigres 7-2 #Magallanes,0,1
Paul_Trejo,Hit de Goskar Amaya con bases llenas e impulsa dos. @OficialTigres 2-1 @Magallanes _bbc,0,1
Paul_Trejo,Conclusión de esto? Fácil!! No hay deporte que genere más emoción que el béisbol . https:// twitter.com/elmanuortiz/st atus/811765791754362880 …,0,1
Paul_Trejo,"El béisbol es claro, quien no hace le hacen.",0,1
Paul_Trejo,A @LaTeleTuya hay que darle me gusta y retweet por sus transmisiones de #beisbol #LVBPxTLT,0,1
Paul_Trejo,El béisbol siempre nos pone en intrigas #WorldSeries,0,1
Paul_Trejo,Nadie quiere ser el último out de un juego de béisbol y menos de una serie mundial #WorldSeries,0,1
Paul_Trejo,Como va a decir que el béisbol es aburrido. Se ganó un unfollow el mardeeeeto,0,1
Paul_Trejo,"""El béisbol siempre busca 1 manera para dart una nueva oportunidad y reivindicarte, y vaya q lo acaba de hacer Rajai Davis "" Ernesto Jerez.",0,1
Paul_Trejo,El béisbol es lo mejor del mundo definitivamente.,0,1
Paul_Trejo,"De pana que el béisbol es demasiado arrecho, nada se sabe hasta que termina #PartidoNuevo #WorldSeries",0,1
Paul_Trejo,"El béisbol es el deporte del '' todo puede pasar """,0,1
Paul_Trejo,"Eso es lo bonito del béisbol , que cualquier cosa puede pasar.",0,1
Paul_Trejo,Que desgracia ver los estadios de béisbol vacíos.,2,1
Paul_Trejo,"Que triste ver como el espectáculo deportivo de mayor relevancia del país, el béisbol , se vea opacado gracias a la situación del país.",1,1
Paul_Trejo,Ir a un juego de béisbol ahora es un lujo :(,0,1
Paul_Trejo,"Supuren el Miss Venezuela, mañana comienza el béisbol venezolano.",0,1
Paul_Trejo,"Mañana comienza lo mejor del planeta tierra, el béisbol venezolano",0,1
Paul_Trejo,Que bonito es el béisbol,0,1
Paul_Trejo,Está semana q viene comienza el béisbol,0,1
MiguelBuraye,"@CardenalesDice Ya magallanes monto el show con Felix Hernandez de vaina el show duro 1 inning, ya no lanza más en Vzla",0,1
MiguelBuraye,@caraquistas @mmonasterios79 si es el juego del Caracas Vs Magallanes deberia transmitirlo Basuravision,0,1
MiguelBuraye,@LVBP _Oficial listo cuando ya estan eliminados,0,1
Negrecio,Prendí la tele y está Guaco cantando en un campo de softball en un campo de béisbol con un montón de mujeres uniformadas pic.twitter.com/0RNuCR7pX1,0,1
Negrecio,A mí no me hablen de béisbol más nunca. Creer en equipos que nunca ganan es peor que creer en la salida del chavismo.,0,1
jqoriginal,Viene el 9no para @Magallanes _bbc Como dice el poeta @pepedelgado44 El inning del Alma Llanera! #eliminados,1,1
jqoriginal,Me gustan sus opiniones. Espero mas comentarios. La @LVBP_Oficial es solo @leones_cbbc y @Magallanes _bbc ?,0,1
jqoriginal,De los creadores de @leones_cbbc ELIMINADO. Llega @Magallanes _bbc también ELIMINADO. Acaso el béisbol venezolano es Caracas y Magallanes ?,2,1
jqoriginal,CONCURSO Caracas vs Magallanes Quieres ganarte 2 entradas para el encuentro entre @leones_cbbc … https://www. instagram.com/p/BN_uAYAjHL3/,0,1
jqoriginal,Hablando de la @LVBP_Oficial el nivel mostrado en el @leones_cbbc @Magallanes _bbc no se compara ni a un juego de Beisbol AA #mejornivel,0,1
jqoriginal,Me gustan sus opiniones. Espero mas comentarios. La @LVBP_Oficial es solo @leones_cbbc y @Magallanes_bbc ?,0,1
jqoriginal,De los creadores de @leones_cbbc ELIMINADO. Llega @Magallanes_bbc también ELIMINADO. Acaso el béisbol venezolano es Caracas y Magallanes?,2,1
jqoriginal,Estas de acuerdo con la designación de Yorvit Torrealba como nuevo mánager de los @leones_cbbc dada la situación actual del Equipo?,0,1
jqoriginal,Hablando de la @LVBP_Oficial el nivel mostrado en el @leones_cbbc @Magallanes_bbc no se compara ni a un juego de Beisbol AA #mejornivel,0,1
Elanotador,@carlosjduarte @LiderEsDeporte @arbitrosvuc Felicitaciones a Carlos por los éxitos alcanzados en el mejor béisbol del mundo,0,1
Elanotador,"#DatoBravo . El récord de 14-7 de los #BravosDeMargarita en el mes de octubre, es el mejor en la historia de la divisa. #LVBP pic.twitter.com/Q4tqH9cNBZ",15,1
Big_LeaguerRLAP,"Hoy se cumplen 75 de la hazaña de los héroes del 41 (Serie Mundial de Béisbol ganada por Venezuela en la Habana, Cuba). Daniel ""Chino""...1/2",0,1
Big_LeaguerRLAP,"@TonyCittadinoTV gracias papá, el aprecio es mutuo. De pana que ya hacía falta el béisbol y la compañía de ustedes!",0,1
Big_LeaguerRLAP,"@TonyCittadinoTV sigo en RD, hoy estuve en el juego del Licey vs Escogido y hubo como 6 errores entre ambos. Así que no es sólo en la LVBP .",1,1
Big_LeaguerRLAP,.. 2/2 Canónico fue el ganador del juego 4-1. 5 años después inicia su accionar la LVBP . Datos obtenidos de IVC. @arreazaortega,0,1
Big_LeaguerRLAP,"@alexpinto1989 yo fui a Val. Por cierto Alex, quizás te interese una Certificación en Baseball Fundaments de mi organización @academywbt",0,1
JLQEnrique,1)- 5 Cosas que te gusten y Que es lo mas loco que has … — El beisbol La comida alguien de mi liceo trotar y hacer… http:// l.ask.fm/igoto/45DKECN7 5V62DDAUPY6IQO6G6GNTJPAPQ7A67WHGKHV2XYNMYIYNC6KOFRBMSSZXL2672EQBJNRH6FIN5U36Y3N7NLRP5BJDXAAQDBCPIR3SEK6PA6MD4JHXTT5O5VDVTCUYAVIDZXKE3F4EICDQURLE72IHT74O23OURUDLTKWI2I47GRDX5XPV2BALT47GRM7YYSYZ …,0,1
AxelSaduy,LVBP Hoy. Todos 7 pm Águilas-Cardenales en BQTO Leones-Bravos en MGTA Caribes-Tiburones en CCS Tigres- Magallanes en VAL #BuenViernes #9Dic,0,1
AxelSaduy,LVBP Cardenales 29-22 Águilas 28-22 Tiburones 25-23 Bravos 26-24 Caribes 25-25 Tigres 21-25 Leones 20-26 Magallanes 20-27 #BuenViernes #9Dic,0,1
AxelSaduy,Primera apertura de Marcus Walden será contra Magallanes http://www. elemergente.com/2016/12/primer a-apertura-de-marcus-walden-sera.html … #FelizMartes #6Dic #MartesDeGanarSeguidores,0,1
AxelSaduy,Johan Santana se entrenará bajo supervisión del Magallanes http://www. elemergente.com/2016/12/johan- santana-se-entrenara-bajo.html … #BuenViernes #2Dic #ViernesDeGanarSeguidores #MAG,0,1
AxelSaduy,"""No hay plan para que Santana lance con Magallanes a corto plazo"" http://www. meridiano.com.ve/beisbol/beisbo l-venezolano/141853/-no-hay-plan-para-que-santana-lance-con-magallanes-a-corto-plazo-.html … #01Dic #FelizJueves #juevesdeganarseguidores",0,1
AxelSaduy,#LVBP Juegos para hoy: #Cardenales vs #Bravos #Meridiano #Caribes vs #Tiburones #IVC #Magallanes vs #Tigres #DIRECTV #22Nov #FelizMartes,0,1
AxelSaduy,"SEMANA CLAVE PARA http://www. lvbp.com/calendario.php Para: #Leones , #Caribes , #Tigres y #Magallanes #FelizLunes #LunesDeGanarSegidores @acasallenafm",1,1
AxelSaduy,#LVBP día: 13-11-16 #Aguilas 6 #Bravos 7 #Leones 2 #Caribes 4 #Tigres 3 #Magallanes 4 #Cardenales 1 #Tiburones 2 #FelizLunes #14Nov pic.twitter.com/bYkNZWwToE,1,1
AxelSaduy,Posiciones #LVBP Aguilas 18-11 Bravos 16-13 Tiburones 15-13 Cardenales 16-14 Magallanes 13-15 Caribes 13-16 Tigres 12-16 Leones 12-17,0,1
AxelSaduy,Resultados #LVBP 11/11/16 #Leones 9 #bravos 15 #caribes 1 #Tigres 4 #Magallanes 5 #Cardenales 9 #Aguilas 0 #Tiburones 7 #FelizSabado #12Nov pic.twitter.com/8qiWCanAAL,0,1
AxelSaduy,Juego para el día de #hoy de la #LVBP @Magallanes _bbc vs @labarrabrava #FelizLunes #LunesDeGanarSegidores @acasallenafm pic.twitter.com/4fmG29GM9S,1,1
AxelSaduy,Tabla de posiciones de la #LVBP Aguilas Bravos Cardenales Tiburones Caribes Leones Magallanes Tigres #FelizDomingo,2,1
AxelSaduy,Juegos para #Hoy en la #LVBP #Bravos - #Caribes #Tiburones - #Tigres #Aguilas - #Magallanes #BuenViernes #4Nov #ViernesDeGanarSeguidores,0,1
AxelSaduy,#Resultados de la #LVBP Día: 01-11-16 #Cardenales 5 #Tiburones 3 #Aguilas 0 #Tigeres 5 #Leones 5 #magallanes 4 #FelizMiercoles #2Nov pic.twitter.com/yRsiq9gGeJ,0,1
AxelSaduy,@LVBP_Oficial Jhoan Santana - P - @Magallanes _bbc Cortesía: http:// qualitybeisbol.com.ve/?l=noticia&id= 30425 … #FelizDomingo #DomingoDeGanarSeguidores @acasallenafm,1,1
AxelSaduy,#Resultados de la #LVBP Día: 27-10-16 #Bravos 14 #Magallanes 7 #Tiburones 4 #Caribes 3 #Aguilas 4 #Leones 1 #felizviernes @acasallenafm pic.twitter.com/vO4QkNlMc5,1,1
CJBecas,"#Beisbol Santa siempre llega con buenas cosas, ¡aquí está el listado de los seleccionados en nuestros tryouts de #Venezuela ! pic.twitter.com/bPzVWycnRV",0,1
CJBecas,#SantaClaus no se aguantó y ¡también entró al terreno de juego! #navidad #beisbol #baseball #christmas #christmastimeishere #santa pic.twitter.com/RLxUNUsYCc,0,1
CJBecas,El béisbol es nuestro fuerte pero también becamos a jóvenes que practican #OtrosDeportes http://www. cjbecas.com,0,1
CJBecas,Graba tu #Video de béisbol tomando como ejemplos estos: http:// bit.ly/2i2MPjg Así te evaluaremos e iremos por tu #BECA,0,1
CJBecas,"En busca de una #beca deportiva en #EEUU , más de 50 jugadores de #beisbol se dieron cita en el Complejo Deportivo La Isabelica de #Valencia pic.twitter.com/P2iVBD3zkL",0,1
CJBecas,¡MAÑANA! Finalmente nos veremos en #Carabobo para celebrar nuestro penúltimo tryout del año. #Beisbol #HoyQueHay #Valencia pic.twitter.com/0vF1O94Qvs,0,1
CJBecas,Del #BeisbolEnDIRECTV pasamos al beisbol en VIVO. Te esperamos en nuestro #tryout en #Barquisimeto este 21 de diciembre. pic.twitter.com/6UR8ilsMAA,0,1
CJBecas,"#Beisbol Después de Valencia, ¡nos vamos a #Barquisimeto ! Queremos ver una vez más como se desenvuelven los #guaros en el terreno de juego pic.twitter.com/1FcLgb1fUl",0,1
CJBecas,#Beisbol Graba en HD lo que sabes hacer en el diamante y ¡mándanoslo! Esperamos tu link >> cjbecas@hotmail.com pic.twitter.com/aHTNNgoTS7,0,1
CJBecas,#SantoDomingo ¡MAÑANA! Nuestro gran #tryout de béisbol para becas universitarias en EEUU a las 9:00 am pic.twitter.com/r7GqGK2Xfl,0,1
CJBecas,#Calendario Esta es la ruta que seguiremos en la República Dominicana. #Beisbol #Softbol #tyout #chequeo #fechas #diciembre #diciembre2016 pic.twitter.com/hkprUTuMT2,0,1
CJBecas,#Béisbol Jugando nos sentimos felices en ¡San Pedro de Macorís! #tryout #quehay #estamosendiciembreyyo #FelizDomingo pic.twitter.com/2ePhi3g1lE,0,1
CJBecas,"-¿Eres dominicano y te gusta el béisbol ? -Sí. -¿Vas a nuestro tryout? -¿Cuándo es? -Este #8Dic -¡Allá nos vemos, hermano! #Conversaciones pic.twitter.com/XpK1618ktw",0,1
CJBecas,"#Tryout El béisbol es lo que amamos, por eso República Dominicana nos atrajo. pic.twitter.com/HNh3uEMoQa",0,1
CJBecas,#TBT Cuando nos dejamos impresionar por el talento de la República Dominicana | #Beisbol | #Tryout | #CJBecas pic.twitter.com/XEIsOqfU0V,0,1
CJBecas,RESTAN 8 DÍAS: San Pedro de Macorís San Pedro de Macorís San Pedro de Macorís #AlláVamos #TRYOUT #Beisbol pic.twitter.com/AagQht2KDs,0,1
CJBecas,#OjoNegro Actualmente se fabrican autoadhesivos anti-resplandor que a veces llevan impreso el logo del equipo de béisbol .,0,1
CJBecas,El #OjoNegro resulta muy útil para que el resplandor no perturbe la visión de pelotas aéreas en pleno #juego de béisbol .,0,1
CJBecas,¿Cuántos lanzamientos crees que resiste una pelota en un partido profesional? #beisbol #baseballlife #baseball #baseballplayer #ball pic.twitter.com/xwnwTEkXCH,0,1
BeisbolConTodo,Por segunda vez en la historia habrá playoffs sin #Caracas ni #Magallanes . La última vez fue en la zafra 2007-2008. @LVBP_Oficial pic.twitter.com/lQJmf0CeQ6,0,1
BeisbolConTodo,"Los @Magallanes _bbc se unieron a los @leones_cbbc como los dos equipos eliminados, algo que solo había ocurrido en la zafra 2007-2008. pic.twitter.com/hMgvCLdEh3",0,1
BeisbolConTodo,#Magallanes pierde a Eduardo Rodríguez por lesión. @Magallanes _News #BeisbolconTodo . pic.twitter.com/4GyUxf2uqX,0,1
BeisbolConTodo,"Félix Hernández presentó ayer una intoxicación, será hoy que lance el último juego de la eliminatoria. @Magallanes _News #BeisbolconTodo . pic.twitter.com/rJo4rOoRYE",0,1
BeisbolConTodo,"Los @Magallanes _bbc inscribieron en el roster al inicialista Juan Miranda, quien estuvo jugando con los Tigres del Licey. #BeisbolconTodo . pic.twitter.com/KhSO18Ni2h",0,1
BeisbolConTodo,"Adonis García de @Magallanes _bbc llegó a 27 cuadrangulares en la #LVBP , todos con el Magallanes e igualó a Clarence Gaston. #BeisbolconTodo . pic.twitter.com/sCl99z9Y9c",0,1
BeisbolConTodo,"Juegos para el Lunes #LVBP . #Magallanes vs #Tiburones , #Leones vs #Tigres y #Bravos vs #Caribes . @LVBP_Oficial #BeisbolconTodo . 7:00PM pic.twitter.com/LLX4cNRkQc",1,1
BeisbolConTodo,Chunichi se interesa en el lanzador Jorge Rondón. @Magallanes _News #BeisbolconTodo . pic.twitter.com/7iwcGRAmik,0,1
BeisbolConTodo,"Resultados ayer #LVBP . #Tigres 5 x 4 #Tiburones , #Caribes 4 x 3 #Águilas , #Magallanes 4 x 3 #Bravos y #Cardenales 6 x 2 #Leones . pic.twitter.com/vvlftTzMkO",0,1
BeisbolConTodo,Félix Hernández se reportó a los @Magallanes _bbc y este jueves hará su primera apertura de la temporada. @Magallanes _News #BeisbolconTodo . pic.twitter.com/JVH3go0IIt,0,1
